#,Fix,print,output,for,fix,extra
0,0.400134505420545,2858.9423288039,5714.98110776319,0,0.0132894174108454,0,3026735945.19973,-247282269.422087,0.00140437343790799
0.01,0.400134570310027,2858.94232880964,5714.98110777315,1.13479045795074e-06,0.0129829154782828,7.01419424180332e-11,3026735945.19973,-247282269.422079,0.00141427678087072
0.02,0.400134762611781,2858.94232882659,5714.9811078025,2.2173536205513e-06,0.0120802665233619,2.22041471784103e-10,3026735945.19973,-247282269.422078,0.00144321950805634
0.03,0.400135075356128,2858.94232885398,5714.9811078497,3.19831847729319e-06,0.0106307415647741,3.66909366905805e-10,3026735945.19973,-247282269.422082,0.00148902127788964
0.04,0.400135497361071,2858.94232889056,5714.98110791226,4.0338100392561e-06,0.00871231184932132,4.98411130590673e-10,3026735945.19973,-247282269.422099,0.00154842828973954
0.05,0.400136013878866,2858.94232893466,5714.98110798689,4.68768556524438e-06,0.00642602084149132,6.53505872715971e-10,3026735945.19973,-247282269.422107,0.00161759124062134
0.06,0.400136607483164,2858.94232898431,5714.98110806961,5.13323296341511e-06,0.00388916068000704,8.18508890193424e-10,3026735945.19973,-247282269.422085,0.00169256902413115
0.07,0.400137259161437,2858.94232903733,5714.98110815603,5.35426263097408e-06,0.00122805277891588,9.51180826804564e-10,3026735945.19973,-247282269.4221,0.00176976348660163
0.08,0.400137949550021,2858.9423290914,5714.98110824146,5.3455898046934e-06,-0.0014288434866094,1.05909762466579e-09,3026735945.19973,-247282269.422103,0.00184624262946328
0.09,0.400138660219553,2858.94232914424,5714.98110832126,5.11295780316501e-06,-0.00395698377515221,1.18520800252619e-09,3026735945.19973,-247282269.422106,0.00191994650013013
0.1,0.400139374894045,2858.94232919366,5714.98110839097,4.6724857341232e-06,-0.00624069522818296,1.33681423746805e-09,3026735945.19973,-247282269.422105,0.0019897784499957
0.11,0.400140080475393,2858.94232923769,5714.9811084466,4.04973390654143e-06,-0.00817707080686697,1.48471846135891e-09,3026735945.19973,-247282269.42211,0.0020555728293455
0.12,0.400140767752761,2858.94232927465,5714.98110848479,3.27846889729448e-06,-0.00967902846388666,1.61698580161974e-09,3026735945.19973,-247282269.422101,0.00211793920276331
0.13,0.400141431705627,2858.94232930326,5714.98110850303,2.39918634589216e-06,-0.0106778609796148,1.74931772383036e-09,3026735945.19973,-247282269.422091,0.00217799536874168
0.14,0.400142071358135,2858.94232932264,5714.98110849972,1.45742285865894e-06,-0.0111255686016474,1.89305064084486e-09,3026735945.19973,-247282269.422104,0.0022370297265294
0.15,0.40014268920377,2858.9423293324,5714.98110847433,5.01869930735065e-07,-0.0109971100300818,2.04315338691424e-09,3026735945.19973,-247282269.422097,0.00229616090729199
0.16,0.400143290282785,2858.94232933267,5714.98110842739,-4.17699480896427e-07,-0.0102924888802492,2.18886660443917e-09,3026735945.19973,-247282269.422086,0.00235608631950122
0.17,0.400143881048104,2858.94232932405,5714.9811083605,-1.25266476850401e-06,-0.00903838038570045,2.32082461199351e-09,3026735945.19973,-247282269.422096,0.00241699337019641
0.18,0.400144468187832,2858.94232930762,5714.98110827626,-1.95789186425469e-06,-0.00728882865292116,2.43918237630363e-09,3026735945.19973,-247282269.42209,0.0024786473693226
0.19,0.40014505757665,2858.94232928489,5714.98110817815,-2.49406585031686e-06,-0.00512451281432563,2.55862657349562e-09,3026735945.19973,-247282269.422081,0.00254060279907317
0.2,0.400145653502458,2858.94232925774,5714.98110807039,-2.82988054766669e-06,-0.00265016968852956,2.69055458043797e-09,3026735945.19973,-247282269.42209,0.00260244024597105
0.21,0.400146258262901,2858.9423292283,5714.98110795772,-2.94391727360748e-06,1.00251539049141e-05,2.8262124657975e-09,3026735945.19973,-247282269.422108,0.00266392746719053
0.22,0.400146872158534,2858.94232919886,5714.98110784521,-2.82604156784355e-06,0.00271899830560096,2.95610124218931e-09,3026735945.19973,-247282269.42211,0.00272505524604474
0.23,0.400147493838408,2858.94232917177,5714.98110773797,-2.47817039716423e-06,0.00533481210017408,3.09102074325697e-09,3026735945.19973,-247282269.422095,0.00278596685141606
0.24,0.400148120893727,2858.9423291493,5714.98110764095,-1.91431214571448e-06,0.007719467287336,3.24023684422707e-09,3026735945.19973,-247282269.422102,0.00284685265235433
0.25,0.40014875055748,2858.94232913349,5714.98110755868,-1.15985043700432e-06,0.00974760694161733,3.39022901189299e-09,3026735945.19973,-247282269.422092,0.00290788063380556
0.26,0.400149380359644,2858.9423291261,5714.981107495,-2.50119149881535e-07,0.011314222621266,3.53272089916259e-09,3026735945.19973,-247282269.422076,0.00296919677672198
0.27,0.40015000860937,2858.94232912849,5714.98110745295,7.71613072403367e-07,0.0123406194505402,3.68758587272395e-09,3026735945.19973,-247282269.422072,0.00303097532583878
0.28,0.400150634622007,2858.94232914153,5714.98110743453,1.85657714492087e-06,0.0127781477070536,3.86714274499758e-09,3026735945.19973,-247282269.422086,0.00309345930119265
0.29,0.400151258669321,2858.94232916562,5714.98110744066,2.9531572397013e-06,0.0126095501607,4.0480273311471e-09,3026735945.19973,-247282269.422073,0.00315692787013556
0.3,0.400151881692556,2858.9423292006,5714.98110747103,4.00956561119159e-06,0.0118481038565665,4.21193209253986e-09,3026735945.19973,-247282269.422082,0.0032215773610746
0.31,0.400152504867039,2858.94232924581,5714.9811075242,4.97636692942877e-06,0.0105349941792098,4.38023352195495e-09,3026735945.19973,-247282269.422074,0.00328737118568748
0.32,0.400153129133947,2858.94232930012,5714.98110759761,5.80872516853363e-06,0.00873551747125081,4.57214643357865e-09,3026735945.19973,-247282269.4221,0.00335395131347268
