LAMMPS (29 Sep 2021 - Update 1)
KOKKOS mode is enabled (../kokkos.cpp:97)
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0.0000000 0.0000000 0.0000000) to (4143.0751 57.106480 57.106480)
  64 by 1 by 1 MPI processor grid
  reading atoms ...
  360800 atoms
  read_data CPU = 5.052 seconds
800 atoms in group source
800 atoms in group detector
400 atoms in group edge
400 atoms in group edge_buf
120000 atoms in group buffer
WARNING: Using 'neigh_modify every 1 delay 0 check yes' setting during minimization (../min.cpp:188)
Neighbor list info ...
  update every 1 steps, delay 0 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.6
  ghost atom cutoff = 7.6
  binsize = 7.6, bins = 546 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up cg/kk style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Fixes cannot yet send exchange data in Kokkos communication, switching to classic exchange/border communication (../comm_kokkos.cpp:581)
Per MPI rank memory allocation (min/avg/max) = 2.376 | 4.616 | 9.668 Mbytes
Time Step Lx Pxx Pxy Pxz Ly Lz Pyy Pzz Pyz 
       0.035       35    4143.0751   0.55330975 -7.1357888e-12 -1.1051546e-11     57.10648     57.10648   -97.832842   -97.832842 5.6306364e-12 
       0.036       36    4143.0751   0.54801149 -1.4436135e-11 -5.9430424e-12     57.10648     57.10648   -97.835978   -97.835978 1.0094955e-11 
       0.037       37    4143.0751   0.54283669 -4.0452641e-12 -2.7554306e-12     57.10648     57.10648    -97.83899    -97.83899 4.7025897e-12 
       0.038       38    4143.0751   0.53718549 -2.5001061e-12 -1.9544947e-12     57.10648     57.10648   -97.842343   -97.842343 3.6342219e-12 
       0.039       39    4143.0751   0.53180726 -6.2074838e-12 -1.4776707e-12     57.10648     57.10648   -97.845612   -97.845612 3.283487e-12 
        0.04       40    4143.0751   0.52733521 -4.8314323e-12 -3.7084439e-12     57.10648     57.10648   -97.848315   -97.848315 9.6086865e-13 
       0.041       41    4143.0751   0.52241056 -5.4813775e-12 -3.9722046e-12     57.10648     57.10648   -97.851216   -97.851216 5.7223276e-13 
       0.042       42    4143.0751   0.51801766 -1.6252059e-11 -8.3892884e-13     57.10648     57.10648   -97.853785   -97.853785 1.7510721e-12 
       0.043       43    4143.0751   0.51403268 -2.0071279e-11 6.5213363e-12     57.10648     57.10648   -97.856169   -97.856169 2.4535176e-12 
       0.044       44    4143.0751   0.50962832 -6.0067927e-12 4.2030672e-12     57.10648     57.10648   -97.858843   -97.858843 1.5235344e-12 
       0.045       45    4143.0751    0.5053767 -4.5760244e-12 -3.7087247e-12     57.10648     57.10648   -97.861393   -97.861393 4.3014226e-12 
       0.046       46    4143.0751   0.50181432 -6.8093986e-12 -1.050902e-11     57.10648     57.10648   -97.863482   -97.863482 6.6170514e-12 
       0.047       47    4143.0751   0.49841834 -5.2090335e-12 -1.7370228e-12     57.10648     57.10648   -97.865476   -97.865476 2.4164994e-12 
       0.048       48    4143.0751   0.49442052 -7.1870406e-12 2.2192828e-12     57.10648     57.10648   -97.867879   -97.867879 1.3260369e-12 
       0.049       49    4143.0751   0.49090767 -1.2908351e-11 -1.4329717e-13     57.10648     57.10648   -97.870007   -97.870007 1.9446339e-12 
        0.05       50    4143.0751   0.48776352 -8.5547168e-12 -2.6558912e-12     57.10648     57.10648   -97.871882   -97.871882 9.2005311e-13 
       0.051       51    4143.0751   0.48442655 -3.9340091e-12 -1.1830778e-12     57.10648     57.10648   -97.873838   -97.873838 5.6845224e-13 
       0.052       52    4143.0751   0.48130919 -5.1821867e-12 1.3053643e-12     57.10648     57.10648   -97.875683   -97.875683 1.6652946e-12 
       0.053       53    4143.0751   0.47832878 -4.2987831e-12 4.3775644e-12     57.10648     57.10648   -97.877479   -97.877479 1.1699381e-12 
       0.054       54    4143.0751   0.47523744 -1.7443445e-12 2.7005583e-12     57.10648     57.10648   -97.879348   -97.879348 3.942266e-13 
       0.055       55    4143.0751   0.47225333 -3.8957937e-12 2.1035973e-12     57.10648     57.10648   -97.881115   -97.881115 2.5847643e-12 
       0.056       56    4143.0751   0.46974561 -5.7219652e-12 3.8971011e-12     57.10648     57.10648   -97.882587   -97.882587 3.7564489e-12 
       0.057       57    4143.0751   0.46704866 -4.1483329e-12 3.1246496e-12     57.10648     57.10648   -97.884189   -97.884189 2.3814976e-12 
       0.058       58    4143.0751   0.46412373 -3.917724e-12 -3.742879e-12     57.10648     57.10648   -97.885956   -97.885956 3.399124e-12 
       0.059       59    4143.0751   0.46164974 -4.8440433e-12 -1.0230999e-11     57.10648     57.10648   -97.887442   -97.887442 5.6568653e-12 
        0.06       60    4143.0751    0.4591739 -4.6325115e-12 -5.4693735e-12     57.10648     57.10648   -97.888906   -97.888906 4.2354675e-12 
       0.061       61    4143.0751   0.45670341 -8.9792115e-12 -6.6163458e-12     57.10648     57.10648   -97.890358   -97.890358 6.274535e-12 
       0.062       62    4143.0751    0.4543646 -1.9870503e-11 -1.5865448e-11     57.10648     57.10648   -97.891757   -97.891757 1.1928101e-11 
       0.063       63    4143.0751   0.45205007 -1.4752664e-11 -1.0789901e-11     57.10648     57.10648   -97.893154   -97.893154 8.3409164e-12 
       0.064       64    4143.0751   0.44965282 -1.259508e-11 -1.0453896e-11     57.10648     57.10648   -97.894589   -97.894589 8.9242508e-12 
       0.065       65    4143.0751   0.44748651 -1.557604e-11 -1.6527375e-11     57.10648     57.10648   -97.895866   -97.895866 1.5298642e-11 
       0.066       66    4143.0751   0.44550857 -1.1449363e-11 -1.1334742e-11     57.10648     57.10648   -97.897033   -97.897033 1.1947353e-11 
       0.067       67    4143.0751   0.44323621 -9.16908e-12 -8.861582e-12     57.10648     57.10648   -97.898395   -97.898395 8.9742656e-12 
       0.068       68    4143.0751   0.44112152 -1.0213505e-11 -1.1333173e-11     57.10648     57.10648    -97.89967    -97.89967 1.0832149e-11 
       0.069       69    4143.0751   0.43917233 -7.1790888e-12 -6.5250922e-12     57.10648     57.10648   -97.900832   -97.900832 7.9530545e-12 
        0.07       70    4143.0751   0.43713549 -4.6802816e-12 -3.3124861e-12     57.10648     57.10648   -97.902032   -97.902032 5.0217293e-12 
       0.071       71    4143.0751   0.43523163 -7.274366e-12 -5.4694584e-12     57.10648     57.10648    -97.90316    -97.90316 6.1193779e-12 
       0.072       72    4143.0751   0.43333658 -5.8834901e-12 -2.646829e-12     57.10648     57.10648   -97.904298   -97.904298 4.1117464e-12 
       0.073       73    4143.0751   0.43136372 -3.4330909e-12 -2.3585786e-14     57.10648     57.10648   -97.905486   -97.905486 2.1793708e-12 
       0.074       74    4143.0751   0.42950062 -3.8450473e-12 -1.6396667e-12     57.10648     57.10648   -97.906592   -97.906592 2.6860109e-12 
