LAMMPS (29 Sep 2021 - Update 1)
KOKKOS mode is enabled (../kokkos.cpp:97)
  will use up to 2 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0.0000000 0.0000000 0.0000000) to (436.86457 57.106480 57.106480)
  16 by 2 by 2 MPI processor grid
  reading atoms ...
  120800 atoms
  read_data CPU = 0.217 seconds
800 atoms in group source
800 atoms in group detector
0 atoms in group edge
0 atoms in group edge_buf
0 atoms in group buffer
WARNING: Using 'neigh_modify every 1 delay 0 check yes' setting during minimization (../min.cpp:188)
Neighbor list info ...
  update every 1 steps, delay 0 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.6
  ghost atom cutoff = 7.6
  binsize = 7.6, bins = 58 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up cg/kk style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Fixes cannot yet send exchange data in Kokkos communication, switching to classic exchange/border communication (../comm_kokkos.cpp:581)
Per MPI rank memory allocation (min/avg/max) = 2.301 | 2.470 | 2.508 Mbytes
Time Step Lx Pxx Pxy Pxz Ly Lz Pyy Pzz Pyz TotEng Temp Volume 
        0.03       30    436.86457    3.2783393 8.7494876e-10 9.6708384e-10     57.10648     57.10648   -929.90326   -929.90326 -5.4266057e-09    -497263.4            0    1424680.9 
       0.031       31    436.86457    3.2171462 7.3717023e-10 1.1696682e-09     57.10648     57.10648    -929.9394    -929.9394 -6.1190126e-09    -497263.4            0    1424680.9 
       0.032       32    436.86457    3.1532558 1.2314171e-10 4.0277955e-10     57.10648     57.10648   -929.97644   -929.97644 -1.4167839e-09    -497263.4            0    1424680.9 
       0.033       33    436.86457    3.0832784 2.7708848e-10 6.462387e-10     57.10648     57.10648   -930.01813   -930.01813 -1.2183571e-09    -497263.4            0    1424680.9 
       0.034       34    436.86457    3.0187832 9.6929316e-10 1.6890872e-09     57.10648     57.10648   -930.05747   -930.05747 -3.1130193e-09    -497263.4            0    1424680.9 
       0.035       35    436.86457    2.9682426 6.3788662e-10 1.1422114e-09     57.10648     57.10648   -930.08795   -930.08795 -2.640384e-09    -497263.4            0    1424680.9 
       0.036       36    436.86457     2.911164 8.1881791e-11 2.6508004e-10     57.10648     57.10648   -930.12145   -930.12145 -1.1030499e-09    -497263.4            0    1424680.9 
       0.037       37    436.86457    2.8584525 1.8514934e-10   3.1691e-10     57.10648     57.10648   -930.15226   -930.15226 -1.5778322e-09    -497263.4            0    1424680.9 
       0.038       38    436.86457    2.8099608 6.448638e-10 6.8544999e-10     57.10648     57.10648   -930.18146   -930.18146 -3.1873631e-09    -497263.4            0    1424680.9 
       0.039       39    436.86457    2.7631863 2.9089112e-10 3.0776047e-10     57.10648     57.10648   -930.20991   -930.20991 -1.484263e-09    -497263.4            0    1424680.9 
        0.04       40    436.86457    2.7138679 9.9750225e-11 1.8572367e-10     57.10648     57.10648    -930.2394    -930.2394 -9.0944443e-10    -497263.4            0    1424680.9 
       0.041       41    436.86457     2.670946 9.8667786e-11 3.1481163e-10     57.10648     57.10648   -930.26446   -930.26446 -1.1151126e-09    -497263.4            0    1424680.9 
       0.042       42    436.86457    2.6351332 8.5343982e-11 2.3427464e-10     57.10648     57.10648   -930.28558   -930.28558 -7.9028776e-10    -497263.4            0    1424680.9 
       0.043       43    436.86457    2.5908495 4.0066622e-11  7.86487e-11     57.10648     57.10648   -930.31228   -930.31228 -3.0883778e-10    -497263.4            0    1424680.9 
       0.044       44    436.86457    2.5482483 6.7333053e-11 1.0371911e-10     57.10648     57.10648    -930.3381    -930.3381 -1.2119918e-10    -497263.4            0    1424680.9 
       0.045       45    436.86457     2.513203 1.2481345e-10 1.4652414e-10     57.10648     57.10648   -930.35886   -930.35886 8.764549e-11    -497263.4            0    1424680.9 
       0.046       46    436.86457    2.4798968 7.3207718e-11 3.1827968e-11     57.10648     57.10648   -930.37833   -930.37833 7.2773961e-12    -497263.4            0    1424680.9 
       0.047       47    436.86457    2.4430958 1.0574007e-10 2.6252211e-11     57.10648     57.10648   -930.40019   -930.40019 -1.1690224e-10    -497263.4            0    1424680.9 
       0.048       48    436.86457     2.407802 2.4277757e-10 1.1112832e-10     57.10648     57.10648   -930.42156   -930.42156 -2.9562603e-10    -497263.4            0    1424680.9 
       0.049       49    436.86457     2.377718 2.1732177e-10 9.2441208e-11     57.10648     57.10648   -930.43969   -930.43969 -2.7399943e-10    -497263.4            0    1424680.9 
        0.05       50    436.86457    2.3446312 1.4721008e-10 5.8544928e-11     57.10648     57.10648   -930.45922   -930.45922 -1.707849e-10    -497263.4            0    1424680.9 
       0.051       51    436.86457    2.3145662 1.9518746e-10  1.39892e-10     57.10648     57.10648   -930.47686   -930.47686 -1.0825938e-10    -497263.4            0    1424680.9 
       0.052       52    436.86457    2.2870545 2.331656e-10 1.8556262e-10     57.10648     57.10648    -930.4933    -930.4933 8.3340496e-12    -497263.4            0    1424680.9 
       0.053       53    436.86457    2.2567801 1.3938433e-10 9.5043109e-11     57.10648     57.10648   -930.51163   -930.51163 1.4436253e-11    -497263.4            0    1424680.9 
       0.054       54    436.86457    2.2273598 1.2866901e-10 1.6879943e-10     57.10648     57.10648   -930.52925   -930.52925 -1.587278e-11    -497263.4            0    1424680.9 
       0.055       55    436.86457    2.2022558 1.2213843e-10 2.864109e-10     57.10648     57.10648   -930.54401   -930.54401 2.6513999e-11    -497263.4            0    1424680.9 
       0.056       56    436.86457    2.1778221 6.943866e-11 1.8366031e-10     57.10648     57.10648    -930.5584    -930.5584 8.5968987e-11    -497263.4            0    1424680.9 
       0.057       57    436.86457    2.1498349 6.8613521e-11  2.28355e-10     57.10648     57.10648    -930.5752    -930.5752 1.0975923e-10    -497263.4            0    1424680.9 
       0.058       58    436.86457    2.1252048 8.7055932e-11 3.5720462e-10     57.10648     57.10648   -930.59007   -930.59007 9.1359187e-11    -497263.4            0    1424680.9 
       0.059       59    436.86457    2.1019902 5.5361632e-11 2.527668e-10     57.10648     57.10648   -930.60393   -930.60393 3.4485507e-11    -497263.4            0    1424680.9 
        0.06       60    436.86457    2.0775726 2.5234293e-11 2.1947613e-10     57.10648     57.10648   -930.61827   -930.61827 1.241931e-11    -497263.4            0    1424680.9 
       0.061       61    436.86457    2.0554124 2.1990122e-11 3.8926908e-10     57.10648     57.10648    -930.6314    -930.6314 -2.2144475e-12    -497263.4            0    1424680.9 
