LAMMPS (29 Sep 2021 - Update 1)
KOKKOS mode is enabled (../kokkos.cpp:97)
  will use up to 2 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0.0000000 0.0000000 0.0000000) to (436.86457 57.106480 57.106480)
  16 by 2 by 2 MPI processor grid
  reading atoms ...
  120800 atoms
  read_data CPU = 0.275 seconds
800 atoms in group source
800 atoms in group detector
0 atoms in group edge
0 atoms in group edge_buf
0 atoms in group buffer
WARNING: Using 'neigh_modify every 1 delay 0 check yes' setting during minimization (../min.cpp:188)
Neighbor list info ...
  update every 1 steps, delay 0 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.6
  ghost atom cutoff = 7.6
  binsize = 7.6, bins = 58 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up cg/kk style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Fixes cannot yet send exchange data in Kokkos communication, switching to classic exchange/border communication (../comm_kokkos.cpp:581)
Per MPI rank memory allocation (min/avg/max) = 2.301 | 2.470 | 2.508 Mbytes
Time Step Lx Pxx Pxy Pxz Ly Lz Pyy Pzz Pyz TotEng Temp Volume 
           0        0    436.86457    118.80219 -5.4175191e-13 -4.7169458e-13     57.10648     57.10648    -812.7081    -812.7081 3.0395791e-13   -497261.36            0    1424680.9 
       0.001        1    436.86457     44.79424 -5.1605783e-13 -5.2515166e-13     57.10648     57.10648   -904.84846   -904.84846 -3.5543296e-13   -497263.27            0    1424680.9 
       0.002        2    436.86457     23.52156 -2.9908006e-13 -6.9501253e-13     57.10648     57.10648   -922.24294   -922.24294 -3.5692992e-14   -497263.32            0    1424680.9 
       0.003        3    436.86457    28.149253 -7.7821075e-13 -5.8047888e-13     57.10648     57.10648   -914.02867   -914.02867 -5.3955233e-13   -497263.39            0    1424680.9 
       0.004        4    436.86457    22.769747 -1.3195255e-13 5.4746842e-14     57.10648     57.10648   -917.45532   -917.45532 -1.8103057e-12    -497263.4            0    1424680.9 
       0.005        5    436.86457    15.459859 -1.5191682e-13 -1.5748203e-13     57.10648     57.10648   -922.54335   -922.54335 -4.7343226e-13    -497263.4            0    1424680.9 
       0.006        6    436.86457    12.792724 -4.6911173e-13 -7.5327002e-13     57.10648     57.10648   -924.29598   -924.29598 -3.5277282e-13    -497263.4            0    1424680.9 
       0.007        7    436.86457    11.298523 -3.7802365e-14 5.5994912e-13     57.10648     57.10648   -925.04899   -925.04899 -2.2902018e-12    -497263.4            0    1424680.9 
       0.008        8    436.86457    10.158465 7.4069051e-13 5.881575e-13     57.10648     57.10648   -925.72096   -925.72096 -1.4957591e-12    -497263.4            0    1424680.9 
